title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Ingnieur Application Automate Avanc - Centre d'Excellence/Advanced Automation Application Engineer - Center of Excellence,GE Vernova,"Staffordshire, West Midlands","Job Description Summary Reporting directly to the Protection, Automation and Control (PAC) Services Solutions CoE Leader, the Advanced Automation Application Engineer is a key member of the PAC Services Solutions - Advance Automation Applications (AAA) CoE team. AAA solutions include electrical monitoring and control systems and power management systems for industrial and utility applications, Distributed Energy Resources (DER) integration solutions, Microgrids control and monitoring solutions,…",42917.71,42917.71,,2025-02-16T11:02:38Z,https://www.adzuna.co.uk/jobs/details/5052006860?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,systèmes électriques,gb,systèmes électriques,standard,False,False
Technicien de maintenance courant fort (H/F),Groupe Bouygues,US,"Informations générales Référence Equans_59068 Date de parution 26/04/2025 Filière Métier Réf métier Bouygues SA - TRAVAUX Intitulé du poste Technicien de maintenance courant fort (H/F) Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez EQUANS France, nos équipes interviennent aussi dans les activités d’installation électrique, partout dans l’hexagone ? Ineo Centre, entité d’EQUANS France, recherche son futur : TECHNICIEN DE MAINTENANCE COURANT FORT Poste b…",43330.49,43330.49,,2025-03-03T20:18:16Z,https://www.adzuna.com/details/5072949918?utm_medium=api&utm_source=e1ad5111,Maintenance Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
Technicien de maintenance courant fort (H/F),Mobyclic,US,"Informations générales Référence Equans_59068 Filière Métier Réf métier Bouygues SA - TRAVAUX Intitulé du poste Technicien de maintenance courant fort (H/F) Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez EQUANS France, nos équipes interviennent aussi dans les activités d’installation électrique, partout dans l’hexagone ? Ineo Centre, entité d’EQUANS France, recherche son futur : TECHNICIEN DE MAINTENANCE COURANT FORT Poste basé à Poitiers (86) Spéciali…",39074.79,39074.79,,2025-03-17T22:53:24Z,https://www.adzuna.com/details/5098119554?utm_medium=api&utm_source=e1ad5111,Maintenance Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
"Apprenti-Mécanicien de véhicules lourds (3e, 4e, 5e année d’apprentissage)",Penske,US,"2824 Rue Einstein, Quebec, QC G1X 4B3 première équipe (3 $) deuxième équipe (4 $) équipe de fin de semaine (3 $) Résumé - nature du poste: APPRENTI AVEC EXPÉRIENCE DANS LE DOMAINE DU CAMION, QUI RECHERCHE UNE MEILLEURE OPPORTUNITÉ? Penske est le bon choix pour vous permettre d'améliorer vos aptitudes en vous fournissant le support requis pour réussir Nous possédons la technologie, les outils et des camions à la fine pointe de l'industrie, et nos experts dans l'industrie de l'entretien de véhicu…",82270.83,82270.83,,2025-02-26T09:37:46Z,https://www.adzuna.com/details/5064392845?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
Technicien de camions diesel Mécanicien II,Penske,US,"Localisation: 2500 Pitfield Blvd, Saint Laurent, QC H4S 1Z7 Prime: première équipe (3 $) deuxième équipe (4 $) équipe de fin de semaine (3 $) Résumé - nature du poste: APPRENTI AVEC EXPÉRIENCE DANS LE DOMAINE DU CAMION, QUI RECHERCHE UNE MEILLEURE OPPORTUNITÉ? Penske est le bon choix pour vous permettre d'améliorer vos aptitudes en vous fournissant le support requis pour réussir Nous possédons la technologie, les outils et des camions à la fine pointe de l'industrie, et nos experts dans l'indus…",64428.9,64428.9,,2025-04-30T10:11:58Z,https://www.adzuna.com/details/5170591004?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
Mécanicien diesel mobile - Certifié SAAQ,Penske,US,"Localisation : 3970 Bd Leman Laval, QC H7E 1A1 Prime: première équipe (3 $) deuxième équipe (4 $) équipe de fin de semaine (3 $) Prime à l'embauche : jusqu'à 5 000 Mécanicien diesel mobile - Certifié SAAQ Résumé - nature du poste: APPRENTI AVEC EXPÉRIENCE DANS LE DOMAINE DU CAMION, QUI RECHERCHE UNE MEILLEURE OPPORTUNITÉ? Penske est le bon choix pour vous permettre d'améliorer vos aptitudes en vous fournissant le support requis pour réussir Nous possédons la technologie, les outils et des camio…",71142.73,71142.73,,2025-04-06T15:37:11Z,https://www.adzuna.com/details/5132688276?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
Technicien en Sûreté Vidéo Urbaine H/F,Groupe Bouygues,US,"Informations générales Référence Equans_64928 Date de parution 26/04/2025 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Technicien en Sûreté Vidéo Urbaine H/F Contrat CDI Temps de travail Temps complet Description de la mission Pourquoi nous rejoindre ? Rejoindre Equans, via Bouygues Énergies et Services, c’est participer activement à la sécurisation des espaces publics et urbains. En tant qu'acteur clé dans le domaine de la sûreté, nous travaillons avec des technologie…",59589.77,59589.77,,2025-03-03T23:00:12Z,https://www.adzuna.com/details/5073328345?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
Technicien en Sûreté Vidéo Urbaine H/F,Mobyclic,US,"Informations générales Référence Equans_64928 Filière Métier Réf métier Bouygues SA - INFORMATIQUE Intitulé du poste Technicien en Sûreté Vidéo Urbaine H/F Contrat CDI Temps de travail Temps complet Description de la mission Pourquoi nous rejoindre ? Rejoindre Equans, via Bouygues Énergies et Services, c’est participer activement à la sécurisation des espaces publics et urbains. En tant qu'acteur clé dans le domaine de la sûreté, nous travaillons avec des technologies de pointe pour offrir des …",53246.06,53246.06,,2025-03-03T18:48:51Z,https://www.adzuna.com/details/5072816488?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
Technicien de Maintenance Courant Fort,Mobyclic,US,"Informations générales Référence Equans_48332 Filière Métier Réf métier Bouygues SA - TRAVAUX Intitulé du poste Technicien de Maintenance Courant Fort Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez EQUANS France, nos équipes interviennent dans le secteur du Génie électrique ? INEO PACA, entité d’EQUANS France, recherche son futur Technicien CFO (H/F) – Activité Maintenance tertiaire Poste basé à Six-Fours-les-Plages INEO PACA, entité d’EQUANS France, s…",55125.09,55125.09,,2025-03-03T23:03:18Z,https://www.adzuna.com/details/5073335251?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
Technicien de Maintenance Courant Fort,Groupe Bouygues,US,"Informations générales Référence Equans_48332 Date de parution 26/04/2025 Filière Métier Réf métier Bouygues SA - TRAVAUX Intitulé du poste Technicien de Maintenance Courant Fort Contrat CDI Temps de travail Temps complet Description de la mission Saviez-vous que chez EQUANS France, nos équipes interviennent dans le secteur du Génie électrique ? INEO PACA, entité d’EQUANS France, recherche son futur Technicien CFO (H/F) – Activité Maintenance tertiaire Poste basé à Six-Fours-les-Plages INEO PAC…",61411.15,61411.15,,2025-03-03T19:12:24Z,https://www.adzuna.com/details/5072859778?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,systèmes électriques,us,systèmes électriques,standard,False,False
