title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Senior HVDC Application Engineer,GE Vernova,"Fox Valley Facility, DuPage County",Job Description Summary The Senior HVDC Application Engineer is an established leader in their respective engineering team. He or she drives business strategy through detailed technical and economic understanding of the marketplace and takes the initiative to drive business leaders to provide customers with the best solutions that positively impact business. The Senior HVDC Application Engineer Serve as the technological point person for the business for the entire Inquiry to Order (ITO) phase.…,69235.66,69235.66,,2025-03-11T09:39:11Z,https://www.adzuna.com/details/5087078039?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,ingénieur de structures,us,ingénieur de structures,standard,False,False
Ingénieur structure béton armé H/F,Hays France,"Saint-Brieuc, Côtes-d'Armor","Situé à proximité de Saint-Brieuc, à 15 minutes de la mer, notre client est un bureau d'études structures béton armé, charpente bois et métalliques en développement, spécialisé dans les études structures dans le secteur du bâtiment et génie civil. Il intervient sur des projets variés, en phase c",,,permanent,2025-04-24T09:51:50Z,https://www.adzuna.fr/land/ad/5159716395?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=A1AA21A3A9841BE7966466097AC3BAF19873649B,Emplois Ingénierie,ingénieur de structures,fr,ingénieur de structures,standard,False,False
Ingénieur structure/Ingénieure structure,EP2C,"Ile-de-France, France","Nous recherchons, pour l'un de nos clients, un ""Ingénieur Structure (H/F)"" en Ile-de-France (France) pour une durée de 6 à 12 mois (renouvelable). Ingénieur Structure (H/F) : Quelles seront vos missions et responsabilités? Le candidat idéal devra avoir une expérience confirmée dans l’application des normes et méthodologies techniques, notamment : Application des normes pour la structure sur un projet antérieur, avec une maîtrise de deux ou plus des normes suivantes : DNV-RP-C203, DNV-OS-C101&20…",,,,2025-03-23T03:02:45Z,https://www.adzuna.fr/land/ad/5107184848?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=6498DDE882CA74C7ECB281B844EFF075D5706E7A,Unknown,ingénieur de structures,fr,ingénieur de structures,standard,False,False
Ingénieur structure métallique - Photovoltaïque,TOROW,"Paris, Ile-de-France","Dans le cadre du développement de projets photovoltaïques au sol de grande envergure (> 500 kW), nous recherchons un Ingénieur structure métallique spécialisé dans les structures de support pour modules PV. Vous interviendrez sur la conception et la validation des structures métalliques (charpentes, fondations) en lien avec les fabricants. Votre rôle sera clé pour assurer la cohérence technique des structures fournies par les sous-traitants et garantir leur compatibilité avec les équipements ph…",,,,2025-04-09T04:55:40Z,https://www.adzuna.fr/land/ad/5136513233?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=18C2C6CC0B82A5E39F6F590A37863BBE4BFF252D,Unknown,ingénieur de structures,fr,ingénieur de structures,standard,False,False
Ingénieur structure/Ingénieure structure,Randstad,"Pau, Pyrénées-Atlantiques","Randstad Search, Cabinet Conseil en Recrutement et Approche directe, intervient dans la recherche et l'évaluation des profils experts et cadres. Le cabinet est présent dans les principales métropoles françaises. Les consultants mettent à votre service leur expertise métier pour vous accompagner dans votre carrière. A propos de notre client… Nous recrutons pour un acteur majeur du secteur du bâtiment et des travaux publics, un Ingénieur Structure (F/H) en CDI basé à Pau (64). Vous rejoindrez une…",,,,2025-04-21T04:49:26Z,https://www.adzuna.fr/land/ad/5154915114?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=11E3562347B3E056C6A8096756F679108D6D05AB,Unknown,ingénieur de structures,fr,ingénieur de structures,standard,False,False
Ingénieur Structure H/F,asap.work,"Massy, Palaiseau","Nous recherchons un Ingénieur structure (H/F) pour effectuer des calculs et des plans d'exécution sur divers matériaux comme le béton, l'acier et le bois. Tu seras responsable des structures de projets neufs ou de réhabilitation lourde, allant du logement au tertiaire, y compris les ERP. Tes futures missions : - Réaliser des études de faisabilité et des calculs de structure - Concevoir des plans d'exécution et rédiger des notes de calcul - Assurer le suivi technique des projets et la conformité…",35000,35000,,2025-05-04T06:23:31Z,https://www.adzuna.fr/land/ad/5179752532?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=05616676F7A039E299C6A75D04B5533DF98EDAED,Emplois Autres/Général,ingénieur de structures,fr,ingénieur de structures,standard,False,False
Ingénieur Structure H/F,Human Talent,"Ivry-sur-Seine, Créteil","Le cabinet de recrutement Human Talent recherche pour l'un de ses clients situé à Ivry-sur-Seine (94), un Ingénieur Structure H/F. Entreprise réalisant un projet depuis sa définition jusqu'à la réception de l'ouvrage : diagnostic des besoins, préconisation de solutions techniques et de partenaires pertinents, assistance technique, suivi des travaux. En phase Etudes : - La collecte des données, - Les visites de sites, - L'accompagnement de l'Architecte en phases de conception (ESQ, APS, APD, PRO…",55000,65000,,2025-05-03T05:57:25Z,https://www.adzuna.fr/land/ad/5177846584?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=FCA990B9FDDEF8D7D70B636DD56EFE82BCF4D373,Emplois Autres/Général,ingénieur de structures,fr,ingénieur de structures,standard,False,False
Ingenieur structure navale (h/f) (CDI),NEO2,France,"Poste : Dans le cadre de notre développement, nous recherchons un Ingénieur Structure Navale pour accompagner nos clients du secteur maritime et naval sur des projets d'envergure. En tant qu'Ingénieur Structure Navale, vous serez amené(e) à : - Concevoir et dimensionner les structures navales (coques, superstructures, renforts, etc.) en conformité avec les réglementations en vigueur (BV, DNV, Lloyd's Register). - Réaliser des calculs de structures statiques et dynamiques (éléments finis, fatigu…",,,permanent,2025-04-26T16:16:40Z,https://www.adzuna.fr/land/ad/5164210192?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=CD7F4EE7253A0558A40BFA96B537144A6659D72D,Unknown,ingénieur de structures,fr,ingénieur de structures,standard,False,False
Ingenieur structure metallique (H/F),Akkodis,"Ile-de-France, France","Akkodis, est un acteur mondial de l’ingénierie et de l’IT et un leader dans la smart industrie. Nous accompagnons nos clients dans leurs projets de transformation digitale via 4 lignes de service : Consulting, Solutions, Talent et Academy . Akkodis est un partenaire technologique de confiance pour ses clients à l’échelle internationale. Nous co-créons et nous imaginons des solutions de pointe pour répondre aux défis majeurs de notre société, qu'il s'agisse d'accélérer la transition énergétique …",,,,2025-04-09T04:56:32Z,https://www.adzuna.fr/land/ad/5136516303?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=E20E1CF5D319AFEBEB11F657F5FAE77EFBF087C6,Unknown,ingénieur de structures,fr,ingénieur de structures,standard,False,True
Ingénieur Structure H/F,Page Personnel,"Aix en Provence Sud-Ouest, Aix-en-Provence","Rattaché au Directeur du Pôle Études, vous prenez en charge la réalisation des études de conception/réalisation en intervenant dès l'esquisse et à toutes les phases du projet. Vos missions sont les suivantes : * Assurer la communication et échanger les renseignements avec le client, le maître de l'ouvrage, les fournisseurs, * Préparer et diriger l'élaboration d'une partie du projet, effectuer des calculs structure béton armé, bois et charpente métallique, des métrés, des estimations, * Rédiger …",38000,50000,,2025-04-30T12:17:45Z,https://www.adzuna.fr/land/ad/5170321590?se=pFxYHfEo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=0D927ACC7A948CCF0CB8B3ABBA1136C5A3A5D120,Unknown,ingénieur de structures,fr,ingénieur de structures,standard,False,False
