title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Structural Engineer,BAE Systems,"Chapels, Kirkby-In-Furness",Job Title: Principal Structural Engineer Location: Barrow-in-Furness – we offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role Salary: Competitive What you’ll be doing: Designing submarine structures by calculation to ensure they meet the required load cases and safety factors Analysing submarine structures through Finite Element Analysis Working alongside other engineering disciplines to deliver integrated system …,42243.31,42243.31,,2025-01-24T20:16:47Z,https://www.adzuna.co.uk/jobs/land/ad/5023141543?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=9377D0D4A16998ABF9720F9EFD5CC70F161A5D83,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
Principal Structural Engineer,BAE Systems,"Heysham, Morecambe","Job Title: Principal Structural Engineer Location: Barrow-in-Furness – we offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role Salary: Competitive What you’ll be doing: Analysis and Design of complex steel structures utilising Eurocodes, British Standards and BAE standards, to support submarine build You will utilise your knowledge of specific regulations & requirements beyond that used within BAE Systems i.e., LOL…",46290.63,46290.63,,2025-01-28T20:55:57Z,https://www.adzuna.co.uk/jobs/land/ad/5027406836?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=16DA5D9B3DD873212F260363024104DE7B021286,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
Senior Structural Engineer,BAE Systems,"Canal Foot, Ulverston","Job Title: Senior Structural Engineer Location: Barrow-in-Furness – we offer a range of hybrid and flexible working arrangements – please speak to your recruiter about the options for this particular role Salary: Competitive What you’ll be doing: Analysis and Design of complex steel structures utilising Eurocodes, British Standards and BAE standards, to support submarine build You will utilise your knowledge of specific regulations & requirements beyond that used within BAE Systems i.e., LOLER,…",40369.25,40369.25,,2025-04-08T00:00:29Z,https://www.adzuna.co.uk/jobs/land/ad/5134344912?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=20CB0CA852724F83BFC7D7FD8E509CF16564CF5D,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
Structural Engineer,HAYS,"Sheffield, South Yorkshire","Amazing opportunity for a technical lead within a leading multidisciplinary engineering consultancy Are you an experienced structural engineer looking to take the next step in your career? Join a dynamic, growing team at the forefront of sustainable design in Sheffield!You’ll work collaboratively to create structural designs, analyse building structures, and contribute to the successful delivery of projects from inception to completion. You’ll deliver innovative designs, specifications, and rep…",55000,55000,,2024-12-06T18:21:33Z,https://www.adzuna.co.uk/jobs/land/ad/4966010922?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=99D4DA3BBBA11F78CC50049BE79F2570DA575F63,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
Structural Engineer,Galaxy Personnel,"Norwich, Norfolk","Job Title: Structural Engineer Area: Norwich Shift Pattern: Monday to Friday (Days) Hybrid Options Permanent Salary: Up to £70,000 PA One of our prestigious clients is looking for a Structural Engineers to join their team involving projects at all stages. This is an Ideal opportunity to join an exciting modern Engineering Company Structural Engineer My client is a market leading, innovative, dynamic Structural Engineering business specialising in the design, supply, and installation of steel su…",70000,70000,permanent,2025-05-02T10:41:42Z,https://www.adzuna.co.uk/jobs/land/ad/5175787205?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=068188BCCA9E277A7A81CE6F22773472BC215493,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
Structural Engineer,VickerStock,"Belfast, Northern Ireland","Structural Engineer | Belfast Vickerstock are working with an established Civil & Structural Engineering consultancy with more than 30-years' experience serving the local market to support. As a result of significant project awards, coupled with an already secure order book, the business now has a vacancy for an experienced Structural Engineer. Offering Civil & Structural design services, this local consultancy have a loyal client base who appreciate the quality and detail of their design solut…",45000,45000,,2025-04-15T05:06:01Z,https://www.adzuna.co.uk/jobs/land/ad/5145041352?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=E9F3D05E941F72417A99F5D63F5BE7E794BBA43A,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
Structural Engineer progressing to Director,Red Rock Partnership Ltd,"Aylestone, Leicester","Red Rock Partnership are delighted to be working with our prestigious client in Leicester who are looking for Principal/Associate Structural Engineer progressing to Director to join their busy team. About the Business: Our client is a design led, structural and civil engineering practice with a difference. They are a progressive, forward thinking agency with BIM and sustainability at the forefront of solutions. With headquarters in Leicestershire, they operate on a national and international le…",50092.5,50092.5,permanent,2025-05-01T13:01:22Z,https://www.adzuna.co.uk/jobs/land/ad/5172873207?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=C8F50487E148C6E7462A6296400CD3BEF25063BD,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,True
Senior Structural Engineer,Get Staffed Online Recruitment,"Cheltenham, Gloucestershire","Join Our Client's Expanding Team: Senior Structural Engineer Opportunity in Cheltenham Our client is a respected and rapidly growing structural engineering practice seeking a highly skilled and motivated Senior Structural Engineer to join their new, second office, in Cheltenham. This is a unique opportunity to not only work directly with the Managing Director on design and coordination works but also play a pivotal role in the establishment of the new office and shaping the future of the firm a…",60000,60000,permanent,2025-04-12T09:46:49Z,https://www.adzuna.co.uk/jobs/land/ad/5141915673?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=A645A543D1BF7378AB3F727CC867521CC2E53F39,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
Senior Structural Engineer,Anderselite LTD,"Leeds, West Yorkshire","Senior Structural Engineer Leeds Salary - £45,000 - £55,000  Package Our client is a technical specialist working across all aspects of Civil and Structural Engineering within the built environment. To meet their increasing workload and expanding client base they currently require a Senior Structural Engineer for their Leeds office. Candidates will need to be Chartered or Incorporated with the Institute of Structural Engineers or the Institution of Civil Engineers and looking to bring value to …",55000,55000,permanent,2025-04-18T14:04:44Z,https://www.adzuna.co.uk/jobs/land/ad/5151633411?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=5B6F1E0F06B349FA4AA9AE353EFE8819F30266ED,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
Principal Structural Engineer,Fusion People,"Yorkshire And The Humber, UK","Principal Structural Engineer Location: North Yorkshire Company: Multidisciplinary Consultancy Type: Full-Time | Permanent (Hybrid - 2 days WFH) Salary: £50,000 - £55,000 Principal Structural Engineer Benefits : Salary: £50,000 - £55,000 Annual leave: 25 days holiday plus bank holidays with option to purchase up to 10 additional days leave per year Pension scheme: up to 6% contribution Hybrid working to support you in a healthy work-life balance Ongoing professional development through varying …",55000,55000,permanent,2025-04-30T14:33:31Z,https://www.adzuna.co.uk/jobs/land/ad/5170491699?se=fP0Gv_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=62C22EE534161654BB4FBEBEE71B5FD0C959DC29,Engineering Jobs,structural engineer,gb,structural engineer,standard,False,False
