title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Automation Engineer,HAYS,"Basildon, Essex","Automation Engineer Basildon Salary-Negotiable DOE Monday-Friday with Flexitime hours The company: Based in South Essex, you will be joining a purpose-built design and engineering premises for chemical manufacturing feeding into a wide range of industries, including the pharmaceutical industry. They are now able to appoint an Automation Engineer to join their team. As an Automation Engineer, you will work alongside the electricians and panel builders to assist in the design and build of the con…",47723.72,47723.72,,2024-05-31T15:18:42Z,https://www.adzuna.co.uk/jobs/land/ad/4714857945?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=93950566226DE90969FB684DFB1886BB4EE8D46E,Engineering Jobs,automation,gb,automation,standard,False,False
Automation Systems Engineer,KP Snacks,"Hillhouse, Huddersfield","Automation Engineer Pontefract & Hellaby based (Field-based role with a UK-wide remit) Full-time, site-based across two of our modern manufacturing sites Are you a passionate automation specialist with a strong engineering background and a flair for solving problems? Ready to take the next step in your career within a supportive and high-performing team? We’re looking for an Automation Engineer to join our Central Engineering Team and help drive the automation agenda across our Pontefract and H…",44510.26,44510.26,,2025-05-01T02:59:57Z,https://www.adzuna.co.uk/jobs/land/ad/5171622753?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=8618EB5DFFB6F71F2DB81535E1D821A791E0EC30,Engineering Jobs,automation,gb,automation,standard,False,False
Quality Automation Specialist,NatWest,"Temple Meads, Bristol","Join us as a Quality Automation Specialist In this key role, you’ll be undertaking and enabling automated testing activities in all delivery models We’ll look to you to support teams to develop quality solutions and enable continuous integration and assurance of defect free deployment of customer value You’ll be working closely with feature teams and a variety of stakeholders, giving you great exposure to professional development opportunities What you'll do Joining us in a highly collaborative…",48925.67,48925.67,,2025-05-01T05:57:40Z,https://www.adzuna.co.uk/jobs/land/ad/5171853467?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=61F595A3C39656F17BC347F9AEF14351F5F03F32,IT Jobs,automation,gb,automation,standard,False,False
Automation Engineer,Future Engineering,"Manchester, Greater Manchester","Automation Engineer Manchester £44,000 - £50,000 Basic  International Travel  Overtime (OTE £85k - £120k)  Progression  Training  Full Package  Immediate Start Want to earn over £100,000 while travelling the world? This is a rare and exciting opportunity for an automation engineer to earn over £100,000 while traveling the world and working with advanced food processing systems. Receive specialist training, gain global experience, and take your career to the next level with a respected industry …",50000,50000,permanent,2025-04-10T17:44:18Z,https://www.adzuna.co.uk/jobs/land/ad/5138977170?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=FF630EF72798B7743CCD87A03E0419C64539519C,Engineering Jobs,automation,gb,automation,standard,False,True
Automation Engineer,Hunter Selection,"Manchester, Greater Manchester","Automation Engineer Didsbury Days role, Monday to Friday Very competitive salary, please get in touch for more information Pension, Life Assurance, Bonus Scheme, Holidays, other benefits My client, a market leader within their industry, is looking for an experienced Automation Engineer to join the Automation team within the business. This role involves the assessment, development and design of bespoke automation systems and equipment. The business is investing a huge amount in automation and de…",46835.93,46835.93,permanent,2025-05-02T20:04:55Z,https://www.adzuna.co.uk/jobs/land/ad/5177150445?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=C1B32F15EA6E6B72347FCD74ED3B83745335F42E,Engineering Jobs,automation,gb,automation,standard,False,False
Automation Engineer,Pioneer Selection,"Preston, Hull","Automation Engineer - Days Salary: £55,000 Location: Hull I'm recruiting for an Automation Engineer for an industrial manufacturer, offering an exciting opportunity to play a key role in maintaining, upgrading, and improving electrical, instrumentation, and process control systems. The role involves planned and reactive maintenance, repairing and inspecting equipment to ensure efficiency and safety, as well as supporting hardware and software updates for continuous improvement. You'll also be i…",55000,55000,permanent,2025-04-29T14:37:50Z,https://www.adzuna.co.uk/jobs/land/ad/5168659420?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=1E264A1CE91CD03A209E52F5AC6B1FF59687B1A2,Engineering Jobs,automation,gb,automation,standard,False,False
Automation Engineer,Arla Foods Plc,"Puttenham, Tring","Arla Foods Automation Engineer Arla Foods Aylesbury Dairy, Aylesbury, HP22 5EZ Shift pattern: Panama Shift 12 hour Days & Nights Benefits Competitive salary 24 days holiday Annual Pay review Employer pension matched up to 6% (12% total contributory) X4 annual salary life assurance cover Flexible Benefits- buy up to 5 days annual leave, reward gateway scheme- discounts with various retailers via my benefit platform. Strong career development & training (internal and external training) Role Overv…",42868.42,42868.42,permanent,2025-04-07T13:58:13Z,https://www.adzuna.co.uk/jobs/land/ad/5133496798?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=C54034A4A761BA683DA38A2557BAD594D3344744,Engineering Jobs,automation,gb,automation,standard,False,False
Automation Engineer,Tarmac Trading Limited,"Peak Dale, Buxton","Are you an Automation Engineer looking for your next venture? We are looking to recruit a new team member at our Tunstead site in Buxton, Derbyshire. At Tarmac, its not just about what you do its about who you are.If you take pride in a job well done, thrive on collaboration, and are driven to make a difference, then we want to hear from you. Were proud to be building a dynamic and inclusive workplace where every background, voice and idea is welcomed. So, if you're looking for a role that valu…",47177.8,47177.8,permanent,2025-04-25T14:19:28Z,https://www.adzuna.co.uk/jobs/land/ad/5162270915?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=EB9444CC3595E48163E44A98B7422054CDEEDCC3,Engineering Jobs,automation,gb,automation,standard,False,False
Senior Automation Engineer/Automation Engineer,Almac Group Ltd,"Craigavon, Northern Ireland","Senior Automation Engineer/Automation Engineer Location: Craigavon Hours: 37.5 Hours Per Week Business Unit: Central Services Open To: Internal and External Applicants Ref No.: HRJOB9417 The Role Due to the continued success and growth of the Almac Group, we are currently recruiting for a Senior Automation Engineer/Automation Engineer to join our Central Services Business Unit. The successful candidate will be responsible for the specification, design, development, installation, testing and adm…",42531.29,42531.29,permanent,2025-04-30T06:03:23Z,https://www.adzuna.co.uk/jobs/land/ad/5169935872?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=AEEF00B93BE19E6420CC21230D954F13D9808407,Engineering Jobs,automation,gb,automation,standard,False,False
Automation Engineer,Talent Curve Recruitment,"Belfast, Northern Ireland","Automation Engineer Belfast Up to £45K Looking for an Automation Engineer role with real impact? Were hiring for a company in Belfast thats delivering cutting-edge automation solutions. If youve got the technical know-how and hands-on experience, this could be the one for you. Whats in it for you? Salary up to £45K 30 days annual leave Private healthcare 7% pension contribution A real chance to work on innovative projects What youll be doing: Designing, programming, and commissioning automation…",45000,45000,,2025-05-03T03:19:54Z,https://www.adzuna.co.uk/jobs/land/ad/5177698939?se=mN48D_Ao8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=1683953DC3DAD479C4839962EBC85DED16A2DC80,Engineering Jobs,automation,gb,automation,standard,False,False
