title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Lead Data Scientist - Sanctions Screening,Wise,"London, UK","Company Description Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their life easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description Lead Data …",56997.61,56997.61,,2025-04-22T14:49:09Z,https://www.adzuna.co.uk/jobs/land/ad/5156196655?se=8BQ4K_Ao8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=ABBCAFCC234AAB0AB1A7E0C6CFED27E4EF95E4CD,IT Jobs,automatisation,gb,automatisation,standard,False,True
Full Stack Engineer,Zelt,"Knightsbridge, South West London","About Us Zelt is creating a first-of-a-kind platform for people operations. We provide the enterprise with all the functionality needed to manage its workforce across the whole employee lifecycle end-to-end. Our software is easy to use, tasteful and affordable, and it enables organisation to function in a simpler and more automated way. We’re the only vendor on G2 that is named High Performer across both HR, payroll and IT functionality based on customer reviews. Find more about our product in …",70481.2,70481.2,permanent,2024-09-24T20:26:42Z,https://www.adzuna.co.uk/jobs/details/4874916159?utm_medium=api&utm_source=e1ad5111,IT Jobs,automatisation,gb,automatisation,standard,False,False
Ingnieur Application Automate Avanc - Centre d'Excellence/Advanced Automation Application Engineer - Center of Excellence,GE Vernova,"Staffordshire, West Midlands","Job Description Summary Reporting directly to the Protection, Automation and Control (PAC) Services Solutions CoE Leader, the Advanced Automation Application Engineer is a key member of the PAC Services Solutions - Advance Automation Applications (AAA) CoE team. AAA solutions include electrical monitoring and control systems and power management systems for industrial and utility applications, Distributed Energy Resources (DER) integration solutions, Microgrids control and monitoring solutions,…",42917.71,42917.71,,2025-02-16T11:02:38Z,https://www.adzuna.co.uk/jobs/details/5052006860?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,automatisation,gb,automatisation,standard,False,False
Staff Mobile Engineer (Android),SAVA,"Farringdon, Central London","About the Role We are looking for a talented and experienced native Android Engineer to join our growing mobile engineering team. You will play a critical role in designing, developing, and maintaining cutting-edge native Android applications and SDKs. You will be involved in the entire app lifecycle, from concept and design to testing, release, and post-launch support of an array of medical and lifestyle software products. The ideal candidate is a passionate developer with a strong portfolio o…",47209.12,47209.12,permanent,2025-05-03T16:18:16Z,https://www.adzuna.co.uk/jobs/details/5178712759?utm_medium=api&utm_source=e1ad5111,IT Jobs,automatisation,gb,automatisation,standard,False,False
iOS Senior Staff Engineer,SAVA,"Farringdon, Central London","About the Role We are looking for a talented and experienced native iOS Engineer to join our growing mobile engineering team. You will play a critical role in designing, developing, and maintaining cutting-edge native iOS applications and SDKs. You will be involved in the entire app lifecycle, from concept and design to testing, release, and post-launch support of an array of medical and lifestyle software products. The ideal candidate is a passionate developer with a strong portfolio of iOS ap…",56523.11,56523.11,permanent,2025-05-03T16:18:16Z,https://www.adzuna.co.uk/jobs/details/5178712691?utm_medium=api&utm_source=e1ad5111,IT Jobs,automatisation,gb,automatisation,standard,False,False
Project Manager,Movu Robotics,"Bromsgrove, Worcestershire","Movu Robotics , part of the stow Group , is on track to become a global leader in the design, development, and implementation of warehouse automation solutions . Our cutting-edge technology is reshaping supply chain performance through a fully integrated ecosystem of scalable and innovative robotic solutions . If you're looking to grow in a fast-moving environment, we’ve saved you a seat At Movu, your strengths are our strengths . We are an international, dynamic, and passionate company looking…",49229.81,49229.81,,2025-04-16T00:40:33Z,https://www.adzuna.co.uk/jobs/details/5146609215?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,automatisation,gb,automatisation,standard,False,True
Growth Marketing Manager - Benelux,TELUS Health,UK,"TELUS Health is empowering every person to live their healthiest life. Guided by our vision, we are leveraging the power of our leading edge technology and focusing on the uniqueness of each individual to create the future of health. As a global-leading health and well-being provider – encompassing physical, mental and financial health – TELUS Health is improving health outcomes for consumers, patients, healthcare professionals, employers and employees. We are looking for a Growth Marketing Lea…",24720.56,24720.56,,2025-04-29T10:58:12Z,https://www.adzuna.co.uk/jobs/details/5168379049?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",automatisation,gb,automatisation,standard,False,True
Responsable de la Qualit/Quality leader - Grid Automation Business Line F/H,GE Vernova,"Staffordshire, West Midlands","Job Description Summary GE Vernova's Grid Solutions business electrifies the world with advanced grid technologies and systems, enabling power transmission and distribution from the point of generation to point of consumption, and supporting a decarbonized and secured energy transition. GE Vernova's Grid Automation (GA) business line, within Grid Solutions accelerates the energy transition through monitoring, protection, control and communication of increasingly complex electrical networks. We …",42145.44,42145.44,,2025-01-11T11:34:15Z,https://www.adzuna.co.uk/jobs/details/5006789536?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,automatisation,gb,automatisation,standard,False,False
Commercial Insight Analyst,Arval BNP Paribas Group,"Swindon, Wiltshire","Concrètement votre quotidien ? Vous collaborerez étroitement avec le Commercial Performance Manager au sein de l’équipe Commercial Performance & Pricing. Vous serez en charge de fournir des informations de gestion précises, synthétiques et pertinentes afin de soutenir les objectifs stratégiques du département Commerce, en identifiant les tendances et en anticipant leurs impacts potentiels. Vos Principales Missions Concevoir, développer et maintenir l’ensemble des rapports/tableaux de bord régul…",28307.04,28307.04,,2025-04-09T16:33:11Z,https://www.adzuna.co.uk/jobs/details/5137235163?utm_medium=api&utm_source=e1ad5111,Other/General Jobs,automatisation,gb,automatisation,standard,False,False
Secondary Design Manager,GE Vernova,UK,Job Description Summary Responsable de la conception secondaire Rejoignez une équipe gagnante et contribuez à la transition vers l'énergie verte. GE Renewable Energy recherche un responsable de conception secondaire pour travailler dans notre activité Grid Solutions depuis notre bureau de Stafford. Grid Solutions compte plus de 20 000 employés dans environ 80 pays et dessert des clients du monde entier. Grid Solutions alimente 90 % des compagnies d'électricité du monde entier en leur fournissan…,38772.92,38772.92,,2025-04-11T18:04:35Z,https://www.adzuna.co.uk/jobs/details/5140637615?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,automatisation,gb,automatisation,standard,False,False
