title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Node.JS Software Engineer,Darktrace,"Cambridge, Cambridgeshire","Darktrace has more than 2,500 employees located globally. Founded by mathematicians and cyber defence experts in 2013, Darktrace is a global leader in cyber security AI, delivering complete AI-powered solutions in its mission to free the world of cyber disruption. For over a decade, Darktrace has pioneered a proactive, AI-native approach to security. Our roots lie deep in innovation. The Darktrace AI Research Centre based in Cambridge, UK, has conducted research establishing new thresholds in c…",46343.81,46343.81,,2025-03-19T13:31:39Z,https://www.adzuna.co.uk/jobs/land/ad/5101134767?se=lMpF_e0o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=B378EA0B9F3BE5A33112F51223BF99A884899B4F,IT Jobs,node.js,gb,node.js,standard,False,True
"Technical Lead (React, Node.js, AWS)",Version 1,"Belfast, Northern Ireland","Version 1 Belfast Department: Digital, Data & Cloud Job Description We are seeking an experienced Technical Lead to join our UK Digital Data & Cloud Practice. Our Digital Practice is expanding rapidly and there will be an opportunity for you to achieve medium and long-term career goals. There will be a fantastic opportunity to work on some challenging and interesting, large scale transformational and migration projects within both public and private sector. Designing, developing, testing, and m…",69529.71,69529.71,,2025-05-03T03:19:13Z,https://www.adzuna.co.uk/jobs/land/ad/5177698564?se=lMpF_e0o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=BDE23654801CBA8665B81C21F082B78CC4C5175F,IT Jobs,node.js,gb,node.js,standard,False,False
Product Engineer (Node.js/React),Oliver Bernard,UK,"Product Engineer – Fully Remote – Up to £80k  Equity ️  Salary : Up to £80K  meaningful equity  Tech Stack : React, Node.js, MongoDB, AWS ☀️ Fully Remote UK with opportunity to travel to San Francisco / move over if desired Join a Y-combinator backed startup building AI agents that automate the entire sales cycle. You’ll join a small, Tier 1 Engineering Team working directly with technical leadership with deep AI/ML experience and a proven track record in high-growth environments. As a Product …",85797.33,85797.33,,2025-05-02T08:12:58Z,https://www.adzuna.co.uk/jobs/land/ad/5175659930?se=lMpF_e0o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=06274775039859A91F38432614F7857DFCA7B6BA,IT Jobs,node.js,gb,node.js,standard,True,False
Junior Backend Engineer (Node.js),Xcede,"Eastern England, UK","Permanent Salary up to £65,000 Location: Fully remote across UK Junior Backend Engineer - Typescript, Node.js/NestJS, AWS Xcede are partnering with an exciting scale up building a sports betting platform. Role: We are looking for a junior backend engineer to join the global engineering team. Key skills/requirements: 1-3 years experience working in a product led environment Commercial backend experience with Node.js or NestJS microservices Cloud based development experience, ideally AWS Comforta…",42562.77,42562.77,permanent,2025-05-03T07:28:10Z,https://www.adzuna.co.uk/jobs/land/ad/5178022514?se=lMpF_e0o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=FDB0238A64FB5A6E26EA28088FC9E037F0C4F043,IT Jobs,node.js,gb,node.js,standard,True,True
Senior Back-End Developer Node.JS,Sherborne Talent Solutions,"Cheshire, North West England","My client is seeking a passionate Senior Backend Developer who can balance technical excellence with practical execution, ensuring my clients product continues to grow and meet today’s challenges. In return you will get to join an incredible team working with cutting edge technology on a really interesting product suite. In this role, you will play a key part in developing and managing a complex multi-environment SaaS product. The platform is built with modern microservice architecture using Ty…",55530.16,55530.16,,2025-05-01T06:55:24Z,https://www.adzuna.co.uk/jobs/land/ad/5171938316?se=lMpF_e0o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=322C136FCDD8609B295A71112DB8D33C1D9B840B,IT Jobs,node.js,gb,node.js,standard,False,False
Node.js Developer,Info Resume Edge,"London, UK","Key Responsibilities: Develop and maintain server-side applications using Node.js Build RESTful APIs and integrate with front-end components and third-party services Collaborate with cross-functional teams to design, develop, and deliver new features Optimize applications for speed, scalability, and reliability Implement security and data protection protocols Write clean, reusable, and well-documented code Participate in code reviews and contribute to team best practices Required Skills: Strong…",41404.41,41404.41,,2025-04-26T13:22:08Z,https://www.adzuna.co.uk/jobs/details/5164079258?utm_medium=api&utm_source=e1ad5111,IT Jobs,node.js,gb,node.js,standard,False,False
"Senior Full Stack Engineer (TypeScript, Node.js, React)",Oliver Bernard,UK,"Senior Full Stack Engineer – Fully Remote - Up to £90k ️  Salary: Up to £90K  equity options Passionate about delivering true impact? Do you enjoy having a high degree of ownership in your role when building products from scratch? If you ALSO love working in early-stage scale-ups, this one is for you! This Series A start-up are looking to grow their team with several engineers having recently secured funding. They have are currently building our their SaaS platform and are looking to scale oper…",109618.78,109618.78,,2025-04-09T03:42:41Z,https://www.adzuna.co.uk/jobs/land/ad/5136498024?se=lMpF_e0o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=60C4E575F72681E3F14BF1084BF7971A8D201251,IT Jobs,node.js,gb,node.js,standard,True,False
Node.JS Developer (Backend),Glance Group Ltd.,"London, UK","IMPORTANT: To be considered for this role, you must live in the UK and/or have a permanent right to work in the UK, as you will be hired on a full-time, PAYE basis. We do not currently offer visa sponsorships. Who We Are: Glance is a small, boutique mobile design and development agency with a fully remote, worldwide team. We build mobile apps and supporting systems for clients ranging from startups to prominent household names and cover almost all market verticals. We are growing our UK presenc…",35000,45000,permanent,2024-12-03T00:28:11Z,https://www.adzuna.co.uk/jobs/details/4960304576?utm_medium=api&utm_source=e1ad5111,IT Jobs,node.js,gb,node.js,standard,True,True
Senior Node.js Developer,ARC IT Recruitment,"Brighton, East Sussex","Senior Node.js Developer West London (Hybrid - 3 days in office) Senior Node.js Developer required to join a dynamic start-up, backed by the financial strength of a major travel brand. You will play a key role in shaping and expanding our cutting-edge technology stack. As a key player in our tech team, you'll help us scale and innovate, building on top of robust back-end servers and back-office systems. Gain full exposure to the entire development lifecycle, from planning and design to architec…",52757.78,52757.78,permanent,2025-04-09T16:33:33Z,https://www.adzuna.co.uk/jobs/details/5137236326?utm_medium=api&utm_source=e1ad5111,IT Jobs,node.js,gb,node.js,standard,False,False
Node.js Application Developer,accenture,UK,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song-all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving c…",58982.66,58982.66,,2023-11-13T22:01:35Z,https://www.adzuna.co.uk/jobs/details/4430367148?utm_medium=api&utm_source=e1ad5111,Consultancy Jobs,node.js,gb,node.js,standard,False,True
"Senior Back End Engineer | Node.js | up to £100,000",RedCat Digital,"London, UK","I am looking for a Senior Back End Engineer (Node.js) to join a scaleup on a mission to transform UK healthcare with their innovative FinTech solutions. At a time when the healthcare system is evolving rapidly, you would be pivotal in building products that focus is on accessibility and affordability for their customers. As a high-growth start-up, they have launched their initial flagship product and are picking up speed to scale their next phase. It is important to mention that the organisatio…",44741.01,44741.01,,2025-04-28T03:36:46Z,https://www.adzuna.co.uk/jobs/land/ad/5166322652?se=lMpF_e0o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=D5820E44E5D4E60EAAE8B66F36DC2E1412F82F80,IT Jobs,node.js,gb,node.js,standard,False,False
