title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Chief Project Engineer,Rolls Royce,"St. Pauls, Bristol","Job Description Job Title: Chief Project Engineer Working Pattern: Hybrid - Minimum of 3 Days a week in the office Working location: Bristol NautIQ Solutions (UK) Chief Project Engineer (Commercial & Naval Marine Installed Products) The Chief Project Engineer (Commercial & Naval Marine Installed Products) will be the representative for all technical issues with suppliers, customers, and operators for the installed product base (electrical), specifically ASTUTE, DREADNOUGHT (once Boat 1 hardware…",54798.12,54798.12,,2025-03-27T12:36:43Z,https://www.adzuna.co.uk/jobs/land/ad/5113432978?se=PvjpFTIe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=5278F1F38C3FF697ED3B5CB324049F6075D10827,Engineering Jobs,chief
Chief Project Engineer,Rolls Royce,"St. Pauls, Bristol","Job Description Job Title: Chief Project Engineer Working Pattern: Hybrid - Minimum of 3 Days a week in the office Working location: Bristol NautIQ Solutions (UK) Chief Project Engineer (Commercial & Naval Marine Installed Products) The Chief Project Engineer (Commercial & Naval Marine Installed Products) will be the representative for all technical issues with suppliers, customers, and operators for the installed product base (electrical), specifically ASTUTE, DREADNOUGHT (once Boat 1 hardware…",54745.63,54745.63,,2025-03-26T00:49:24Z,https://www.adzuna.co.uk/jobs/land/ad/5111432131?se=PvjpFTIe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=DFF5A73855E4C3EC8A22ACD9870954B5A0662FE5,Engineering Jobs,chief
Chief Executive,NI Social Care Council,"Belfast, Northern Ireland","Northern Ireland Social Care Council Chief Executive We are seeking a Chief Executive to provide leadership, vision and strategic direction to the Northern Ireland Social Care Council. Key to the role is the delivery of the organisation’s aim to protect the public through improving safeguards for vulnerable people, raising the standards of social work and social care practice and strengthening the professionalism of the workforce. This will be underpinned by robust corporate governance arrangem…",82669,108180,,2025-04-02T03:43:22Z,https://www.adzuna.co.uk/jobs/land/ad/5123274605?se=PvjpFTIe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=201A2B10AA14D4B4BD8C503D98F03629A7B7466C,Admin Jobs,chief
Chief Underwriting Officer,IPS Group,UK,"This is a fantastic opening for a highly experienced Motor Underwriting management professional to join this long established motor specialist insurance group. Your experience should come from a predominantly commercial motor background with experience within commercial vehicle and fleet, ideally some exposure to haulage and specialisms such as taxi / courier insurance. You should have already had overall responsibility for P&L, product ownership/development/oversight, extensive pricing / analy…",100000,100000,permanent,2025-03-28T15:55:07Z,https://www.adzuna.co.uk/jobs/details/5116064188?utm_medium=api&utm_source=e1ad5111,Accounting & Finance Jobs,chief
Chief Executive Officer,Tourism NI,"Belfast, Northern Ireland","Tourism continues to be one of Northern Irelands most recognisable good news stories. Tourism Northern Ireland is responsible for the development of tourism in Northern Ireland, supporting the tourism industry and for marketing the region as a tourist destination. A non-departmental public body of the Department for the Economy, the organisation works closely with other tourism bodies to help develop the visitor economy. In 2023, almost two million overseas visitors chose to visit Northern Irel…",40919.5,40919.5,,2025-04-04T07:07:36Z,https://www.adzuna.co.uk/jobs/land/ad/5128717836?se=PvjpFTIe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=921DA0DA2646DB2C1F34B2C7BE5818BD2096E1F8,Customer Services Jobs,chief
Chief Financial Officer,Amplifi Talent,"Castlewellan, County Down","Amplifi Talent are partnering with an established family business to recruit a high calibre CFO on a permanent basis. This is a fantastic opportunity to play a key role in driving the groups continued growth and expansion, working closely with the CEO and wider Leadership Team. This is a high-profile position in a fast-paced, multi-site SME, and therefore requires a senior finance leader who can clearly evidence first-class strategic, commercial, and operational delivery in a similar business e…",100000,100000,permanent,2025-04-09T07:40:27Z,https://www.adzuna.co.uk/jobs/land/ad/5136893757?se=PvjpFTIe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=32DFD974DC811BED541EFD4066306BBA7F78AC73,Accounting & Finance Jobs,chief
Chief Host/Hostess,Paragon Talent,"Snowhill, Walcot",Chief Host/Hostess Needed for a luxury Brasserie in Bath Our amazing client is in search of an experienced Chief Host/Hostess to lead their Restaurant reception team of 4. This property is an extremely busy outlet catering for up to 120 covers per service. You would be in charge of welcoming all guests and large bookings. This venue is very much focused on luxury lifestyle so requires an operator w ADZN1_UKCT,35000,35000,,2025-03-21T19:50:49Z,https://www.adzuna.co.uk/jobs/land/ad/5105068591?se=PvjpFTIe8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=BA5912525CF8DF86E769254177842405F137A0FE,Hospitality & Catering Jobs,chief
Chief Executive,Penna Executive Search,"Manchester, Greater Manchester","Empower Change, Inspire Futures Chief Executive Salary £198k Are you a visionary leader ready to shape the future of Tameside? Do you have the drive and ambition to lead an organisation committed to delivering excellence, tackling inequalities, and putting residents first? We are seeking an exceptional Chief Executive to provide bold, visible leadership – not just within the Council but across the borough, Greater Manchester, and beyond. Working closely with elected Members, strategic partners,…",198000,198000,permanent,2025-04-18T11:18:41Z,https://www.adzuna.co.uk/jobs/details/5151456781?utm_medium=api&utm_source=e1ad5111,Consultancy Jobs,chief
Chief Executive,PERIDOT PARTNERS,"Fife, Scotland","We are looking for a Chief Executive with exceptional leadership skills and a proven track record in delivering sustainable change initiatives for The University of St Andrews’ Students’ Association. Location: St Andrews, Fife (on site 3 days per week) Applications close at 9 a.m. Wednesday 7th May Who we are Every student at St Andrews is automatically a member of The University of St Andrews’ Students’ Association (aka Your Union). We work to support students through three broad categories: R…",70000,80000,permanent,2025-04-07T07:20:13Z,https://www.adzuna.co.uk/jobs/details/5133305783?utm_medium=api&utm_source=e1ad5111,Admin Jobs,chief
Chief Executive,CHARITY PEOPLE,"Toxteth, Liverpool","Could you bring the passion and leadership we need to drive forward a pioneering wellbeing and advocacy charity for BAME and refugee communities in Liverpool? Salary | £50,000 Liverpool | Mostly onsite, with potential for some homeworking Contract | Permanent, 37.5 hours full-time or reduced hours considered Benefits | 28 days holiday (bank), 8% pension contribution (3% from employer) Culture | Flexible, life and family-friendly We're looking for a new Chief Executive : a compassionate and visi…",50000,50000,permanent,2025-04-18T05:16:26Z,https://www.adzuna.co.uk/jobs/details/5151039565?utm_medium=api&utm_source=e1ad5111,Charity & Voluntary Jobs,chief
