title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Java Developer,Halian Technology Limited,"Ash, Aldershot","Java Developer Aldershot/Hybrid - up to £70,000 We are partnered with an exciting finance business who are looking to bring in a skilled Java Developer to join our team in Farnborough. In this role, you'll analyse, design, and develop solutions for our application software in an Agile environment, focusing on delivering high-quality code. You'll be responsible for technical design, coding, test automation, and providing support for application modifications. Benefits: Bonus & 15% Pension | 25 d…",70000,70000,permanent,2025-03-24T19:57:01Z,https://www.adzuna.co.uk/jobs/land/ad/5109142341?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=6CDE5ED0942F7BC140122F9AE8D900C80CBA6DFA,IT Jobs,java,gb,java,standard,False,False
Java Developer,LA International Computer Consultants Ltd,"Northampton, Northamptonshire","To be successful as a Java Developer you should have experience with: * Proficiency in Java 8 with programming experience, reading, writing and debugging multi-threaded code, REST Services. * Proven ability to work in a team environment with experience of the full Software Development Lifecycle * Demonstrable understanding of Java, J2EE, Spring Framework and JDBC. * Working knowledge of REST Services / Microservices * Working knowledge of CI and unit test frameworks. * Working knowledge of ORM …",65000,75400,contract,2025-05-07T14:55:26Z,https://www.adzuna.co.uk/jobs/land/ad/5185237814?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=AC9DA359E5E55EB30305956FB865745D1357DE26,IT Jobs,java,gb,java,standard,False,False
Java Developer,F5 consultants,"Telford, Shropshire","We're Hiring: Java Developer(s) | £50-80K  Benefits - Hybrid - Shropshire Join a leading digital consultancy that's reshaping how great software gets built. If you're driven by curiosity, collaboration, and continuous learning, they will want to talk to you. This role is hybrid with the requirement to attend the office on average, 2 days per week. My client is looking for several Developers, ranging from Mid-Senior, hence the wide ranging salary bracket listed above. To be successful with your …",80000,80000,permanent,2025-05-02T02:41:00Z,https://www.adzuna.co.uk/jobs/land/ad/5175054152?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=764120AE942A76B270DA96C0EACDA4181992578F,IT Jobs,java,gb,java,standard,False,False
Java Engineer,SF Recruitment,"Wolverhampton, West Midlands","Permanent Java Engineer opportunities in the Midlands with a world renowned brand. Up to £90,000 base  bonus and beneifts. We need people who are able to commute to Birmingham 2 days per week. No sponsorship is offered. Why this role? We're excited to be offering this opportunity for a talented Developer to join our rapidly expanding team, working at the forefront of technology at various locations throughout the UK. We're looking for someone who isn't afraid to roll up their sleeves and get st…",90000,90000,permanent,2025-04-30T18:38:04Z,https://www.adzuna.co.uk/jobs/land/ad/5170881043?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=FB01FBD583D9ED160A4474B6E747596D2EFEE227,IT Jobs,java,gb,java,standard,False,False
Senior Java Developer,Stackstudio Digital Ltd.,"Glasgow, Scotland","Senior Java Developer Location: Glasgow, UK (Hybrid - 1 Day a week) Job Type: Permanent, Full-Time (40 hours per week) About the Role Are you a seasoned Java professional looking to make a significant impact in a cutting-edge, global technology team? We're seeking a Senior Java Developer to join our dynamic front-office platform team, where your code will power market-leading business systems. You'll work in a complex, real-time, Linux-based environment, tackling challenges from high-volume eve…",70000,70000,permanent,2025-04-10T17:44:18Z,https://www.adzuna.co.uk/jobs/land/ad/5138977168?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=BFD8441035D62FAE95799205782DDE4469E0CF18,IT Jobs,java,gb,java,standard,False,True
Senior Java Developer,Develop,"South East London, London","This is a brilliant opportunity for a Senior Java Developer to join a market leading cloud communications company based in Central London who are looking to add to their growing Engineering team! This business provides real-time insights that enhance their client's profiles, in turn helping drive revenue growth. Your responsibility as a Senior will be hands on, building new features and driving the growth of the business, whilst also taking on code review and mentorship responsibilities. The po…",90000,90000,permanent,2025-05-07T19:03:54Z,https://www.adzuna.co.uk/jobs/land/ad/5186458839?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=6EDF2629C216A8B1D0CEA45FA79FF1A910C13D22,IT Jobs,java,gb,java,standard,False,False
Java Software Engineer,Spectrum It Recruitment Limited,"Crawley, West Sussex","Are you an experienced Senior Software Developer looking to take on a design authority role? Join a dynamic and growing team delivering cutting-edge cloud-based analytics solutions. With award-winning technology and strong partnerships in the IT & Telecoms sector, including Cisco, this is an exciting opportunity to work on high-performance applications at the forefront of innovation. The Role As a Senior Software Developer, you'll take ownership of key technical areas, ensuring best practices i…",85000,85000,permanent,2025-05-09T23:01:18Z,https://www.adzuna.co.uk/jobs/land/ad/5191332340?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=06E808DE939238FC40F25DF1471E5AD11C840B3E,IT Jobs,java,gb,java,standard,False,False
"Principal Engineer, Java, Microservices & API",NatWest,"Hulme, Manchester","Join us as a Principal Engineer, Java, Microservices & API This is a challenging role that will see you design and engineer software with the customer or user experience as the primary objective We'll look to you to actively contribute to our architecture, design and engineering centre of excellence, collaborating to improve the bank’s overall software engineering capability You’ll gain valuable stakeholder exposure as you build and leverage relationships, as well as the opportunity to hone you…",74705.98,74705.98,,2025-05-09T21:34:03Z,https://www.adzuna.co.uk/jobs/land/ad/5191310607?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=275CCD20C26478CDED14B3D240FD9EADC4580C1A,IT Jobs,java,gb,java,standard,False,False
"Software Engineer, Java, Microservice & API",NatWest,"Hulme, Manchester","Join us as a Software Engineer, Java, Microservice & API This is an opportunity for a technically minded individual to join us as a Software Engineer You’ll be designing, producing, testing and implementing working software, working across the lifecycle of the system Hone your existing software engineering skills and advance your career in this critical role What you'll do Working in a permanent feature team, you’ll be developing knowledge of aspects of the associated platform across the discip…",77044.03,77044.03,permanent,2025-05-09T21:34:03Z,https://www.adzuna.co.uk/jobs/land/ad/5191310609?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=3347B9C0A1E9A7D5A14B22052C1960BEE426A63B,IT Jobs,java,gb,java,standard,False,False
Principal Java Developer,MCS Group,"Belfast, Northern Ireland","MCS Group is proud to be working with an innovative, rapidly scaling technology organisation whose products are used globally across many industries in their search for a Principal Java Developer. The Principal Java Engineer will join an existing, scaling software engineering team to take on responsibility for the a specific function of their core software platform - in a fast-paced role which will encompass development, architecture and the mentoring and coaching of junior software engineers T…",85000,85000,,2025-05-12T21:58:45Z,https://www.adzuna.co.uk/jobs/land/ad/5195443456?se=bDudy2Mw8BGym-MeHncHCQ&utm_medium=api&utm_source=e1ad5111&v=58F2D53D570224B1BBF4164EB73EA8EB5F6EFE32,IT Jobs,java,gb,java,standard,False,True
