title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
DevOps Engineer,Spectrum It Recruitment Limited,"Newbury, West Berkshire","Spectrum IT are currently partnered with a growing FinTech based in Newbury who are looking to add a DevOps Engineer to their existing small team of 3. They are a provider of financial planning technology, working with majority of large financial companies in the UK. As a DevOps Engineer, you will be responsible for the ongoing development, support, and maintenance of market-leading stochastic modelling solutions. The ideal candidate will be a DevOps Engineer with a background/understanding of …",70000,70000,permanent,2025-05-13T23:09:49Z,https://www.adzuna.co.uk/jobs/land/ad/5197198909?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=44AE65222AA6087407958ABED5FB84DC805B52B8,IT Jobs,devops,gb,devops,standard,False,False
DevOps Engineer,Peregrine,"South East London, London","At Peregrine, were constantly seeking Specialist Talent that offer the ideal mix of skills, experience, and attitude, to place with our vast array of clients. From Project Change Professionals in large government organisations to Software Developers in the private sector we are always in search of the best talent to place, now. How Specialist Talent Works At Peregrine, we find the best talent for our clients. Unlike traditional contractors, where you are hired by the client, you remain a perman…",42483.86,42483.86,permanent,2025-05-13T15:10:18Z,https://www.adzuna.co.uk/jobs/land/ad/5196416645?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=824CC4F806A35479C278EE38AF7D386758574439,IT Jobs,devops,gb,devops,standard,False,False
DevOps Engineer,DWP Digital,"Heeley, Sheffield","DevOps Engineer Pay up to £58,347 plus 28.97% employer pension contributions, hybrid working, flexible hours, and a truly great work life balance. DWP. Digital with Purpose. We have an exciting opportunity to join our community of experts at DWP Digital as a DevOps Engineer. DWP is the UK's largest government department. We help people into work and make payments worth over £195bn a year, to support millions of daily users. Our DWP Digital teams are using fresh ideas and leading-edge technologi…",55000,55000,permanent,2025-05-09T23:01:17Z,https://www.adzuna.co.uk/jobs/land/ad/5191332333?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=1A872F92FE40A7A27F5F3CC6775E7E032900EC55,IT Jobs,devops,gb,devops,standard,False,False
DevOps Engineer,Capgemini UK Plc,"South Croydon, South East London","Role Title: DevOps Engineer Duration: 6 months Location: Hybrid , on site in Croydon up to 2 days per week and overnight once a month Rate: up to £552.83 p/d Umbrella inside IR35 Clearance required: Active SC Clearance is essential Key Skills/ requirements Technologies - The must have requirements centre around the base technology platforms that we build all our infrastructure): AWS Cloud Formation or Terraform Nginx Strong Linux administration skills Packer Collaboration tools (Git, Jira, Conf…",143735,143735,contract,2025-05-10T07:04:25Z,https://www.adzuna.co.uk/jobs/land/ad/5191767142?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=F487B4F810B81887F38F17B77D5D042F9C334D30,IT Jobs,devops,gb,devops,standard,False,False
DevOps Engineer,Saab UK,"Hull, East Riding Of Yorkshire","Introduction Saab UK is part of Scandinavia's largest defence company, bringing together the best of Swedish and British innovation. Saab offers world-leading solutions and services in defence, aviation, space, and civil security to keep people and society safe. Our UK presence has been growing at pace, meaning we can offer a wide range of opportunities for personal fulfilment and career growth. We currently employ over 500 people across eight sites in the UK, and our specialisations include so…",51907.56,51907.56,permanent,2025-04-25T20:02:08Z,https://www.adzuna.co.uk/jobs/land/ad/5162909662?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=6DABC5CE6357A532FEC541AEADE13EA302FB3598,IT Jobs,devops,gb,devops,standard,False,False
Lead DevOps Engineer,Queen Square Recruitment Limited,"Yorkshire And The Humber, UK","Job Title: Lead DevOps Engineer (SC Cleared or SC Eligible) Location: Hybrid (2-3 days/week in office) Yorkshire/Leeds Contract Type: 6-Month Contract Day Rate: Inside IR35 - Competitive Clearance Requirement: Must be SC Cleared or eligible for SC Clearance Our client, a leading global organisation, is partnering with a prestigious end client with offices in Leeds and Yorkshire. We are excited to offer a fantastic opportunity for a talented Lead DevOps Engineer to join a dynamic and agile devel…",82846.06,82846.06,contract,2025-05-08T14:59:47Z,https://www.adzuna.co.uk/jobs/land/ad/5188565944?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=C95B9C60C4D390B42952983BA8E0C6686EF09050,IT Jobs,devops,gb,devops,standard,False,True
Senior DevOps Engineer,Halian Technology Limited,"Reading, Berkshire","Senior DevOps Engineer - Reading/Hybrid Halian is currently recruiting for an experienced Senior DevOps Engineer on a permanent basis on behalf of an innovative and industry leading SaaS organisation. In this role, you will work at the heart of their cloud-native systems, automating and optimizing their infrastructure while ensuring the highest levels of security, reliability, and scalability. This is a great opportunity to create innovative software using cutting-edge solutions as well to work…",85000,85000,permanent,2025-03-07T02:20:36Z,https://www.adzuna.co.uk/jobs/land/ad/5080144005?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=85B99ADEBE18D1F33AF749520194B6A3D30534BD,IT Jobs,devops,gb,devops,standard,False,False
Azure DevOps Engineer,DGH Recruitment,"London, UK","Azure DevOps Engineer Hybrid working policy: 3 days per week required in the office. Location: City of London DGH Recruitment are currently recruiting on behalf of a leading global professional services firm who are looking for a DevOps Engineer to join the team. The role will responsible for developing pipelines and scripts that will deliver IT Infrastructure in both public and private cloud, incorporating security best practices. It will work alongside other teams to identify and prioritise a…",85000,85000,permanent,2025-05-08T11:33:52Z,https://www.adzuna.co.uk/jobs/land/ad/5188311812?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=93484D9D6FA8730428FD545D861C02E61E1852BE,IT Jobs,devops,gb,devops,standard,False,True
Senior DevOps Engineer,Peregrine,"Headingley, Leeds","At Peregrine, were constantly seeking Specialist Talent that offer the ideal mix of skills, experience, and attitude, to place with our vast array of clients. From Project Change Professionals in large government organisations to Software Developers in the private sector we are always in search of the best talent to place, now. How Specialist Talent Works At Peregrine, we find the best talent for our clients. Unlike traditional contractors, where you are hired by the client, you remain a perman…",127185,127185,permanent,2025-05-13T23:09:49Z,https://www.adzuna.co.uk/jobs/land/ad/5197198906?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=E9296FEC0715FCEA2DADB842DC445A08999E737D,IT Jobs,devops,gb,devops,standard,False,False
Senior DevOps Engineer,Bright Purple Resourcing,"Birmingham, West Midlands","DevOps Engineer London or Birmingham - Hybrid (3 Days onsite) We are looking for a DevOps Engineer that will contribute to the design, development and maintenance of our clients production and development infrastructure. This is a fantastic opportunity to step into a role that promises not just a job, but a rewarding career with a leading tech unicorn. What is in it for you: Salary up to £95,000 DOE Hybrid working arrangements with global offices Generous holiday allowance Private healthcare Pr…",59073.4,59073.4,permanent,2025-05-07T14:55:26Z,https://www.adzuna.co.uk/jobs/land/ad/5185237835?se=OtvH-2Mw8BGvSxMLQyZXLA&utm_medium=api&utm_source=e1ad5111&v=6708C85F2B9D014DF1E6EB9A880795FC2DAC0264,IT Jobs,devops,gb,devops,standard,False,True
