title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Civil Infrastructure Engineer,HAYS,"Newcastle Upon Tyne, Tyne & Wear","Fantastic opportunity for a Civil Infrastructure Engineer to work in a leading national consultancy Your new company Join an award-winning and leading UK National Multidisciplinary Consultancy with over 100 years' experience in design engineering in their Newcastle City Centre. This fantastic consultancy is seeking a Civil Infrastructure Engineer with technical experience at a senior level, to assist with the company's pipeline Your new role Provide design for highways and drainage for a variet…",0,52000,,2024-11-23T17:49:17Z,https://www.adzuna.co.uk/jobs/land/ad/4949143339?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=C1BC619EEB5B499041DB1D1E61909CD3892F64E3,Trade & Construction Jobs,infrastructure,gb,infrastructure,standard,False,False
Infrastructure Engineer,Rise Technical Recruitment Limited,"East Butterwick, Scunthorpe","Infrastructure Engineer Scunthorpe £40,000-£48,000  35 Days Holiday  Medical  5% Matched Pension  Training  Progression Excellent opportunity for an Infrastructure Engineer to join a major manufacturing business going through major growth offering brilliant training and development opportunities, truly interesting project-based work, and a fantastic benefits package! This company are bringing all their Tech and IT Functions in-house after decades of having external consultancies bolster their n…",45000,45000,permanent,2025-05-04T14:42:03Z,https://www.adzuna.co.uk/jobs/land/ad/5180171690?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=821574CBC95AA671E76738CA0676067756E2E8A4,IT Jobs,infrastructure,gb,infrastructure,standard,False,False
Infrastructure Engineer,SF Recruitment,"Tamworth, Staffordshire","Infrastructure Engineer - On-site - £50,000-£60,000 We are seeking an experienced Infrastructure Engineer with strong expertise in virtualisation, Windows Server environments, and cloud-based technologies. You'll be responsible for maintaining and troubleshooting complex infrastructure across physical, virtual, and cloud platforms in a fast-paced environment. Key Responsibilities: Administer and support Microsoft Windows Server, Active Directory, Hyper-V, and Azure environments. Troubleshoot an…",60000,60000,permanent,2025-04-22T14:14:09Z,https://www.adzuna.co.uk/jobs/land/ad/5156173429?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=40178C9D9B5DACCC71A9036BC892600E052759E1,IT Jobs,infrastructure,gb,infrastructure,standard,True,False
Infrastructure architect,LA International Computer Consultants Ltd,"Basingstoke, Hampshire","Looking for an infrastructure architect with focus on 1 of these 3 areas: SQL General networks- Cisco Active Directory Based in Basingstoke full time on site Requires a HLC. LA International is a HMG approved ICT Recruitment and Project Solutions Consultancy, operating globally from the largest single site in the UK as an IT Consultancy or as an Employment Business & Agency depending upon the precise nature of the work, for security cleared jobs or non-clearance vacancies, LA International welc…",182000,208000,contract,2025-03-25T19:59:38Z,https://www.adzuna.co.uk/jobs/land/ad/5111238826?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=6027896FD03661D489DE1E6D28869DBCC035DDBA,IT Jobs,infrastructure,gb,infrastructure,standard,False,True
"Infrastructure Manager - Infrastructure Team Leader, 365, Azure",Reed Technology,"Mile End, East London","Infrastructure Manager - Infrastructure Team Leader (O365, Azure) The role is hybrid; 2 days a week onsite. My client is looking to recruit an Infrastructure manager for their offices in London. You will manage a team of 6 engineers, the role is a hands-on manager role, so we are looking for candidates who are technically strong and who have some leadership/management experience. Core competencies: Must have some experience in team management. Must have proven knowledge of Microsoft Identity Ma…",62621.66,62621.66,permanent,2025-04-15T21:56:25Z,https://www.adzuna.co.uk/jobs/land/ad/5146518902?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=490A6BF92EF72255D01CB84DE08E50935562348D,IT Jobs,infrastructure,gb,infrastructure,standard,False,False
IT Infrastructure Engineer,Chroma Recruitment Ltd,"Vale Park, Evesham","Chroma are currently working with a niche technology specialist who are looking for an IT Infrastructure Engineer to join their team in Worcestershire. Offering up to £55K with extensive training and development opportunities , this is an excellent opportunity for an experienced IT Infrastructure Engineer looking for project work, or for a mid-level IT Infrastructure Engineer looking to take the next step in their career. This will be a fully on-site role to maximise collaboration and developme…",55000,55000,permanent,2025-04-01T21:09:12Z,https://www.adzuna.co.uk/jobs/land/ad/5122810704?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=19BDB4ADD44F2D419C3AFA870F4778D7A16B7EEB,IT Jobs,infrastructure,gb,infrastructure,standard,False,False
Senior Infrastructure Engineer,Euro Projects Recruitment,"Worcester, Worcestershire","Senior Infrastructure Engineer Senior Infrastructure Engineer jobs, Infrastructure Specialist jobs, Systems Engineer jobs Hybrid working £65,000 Established, growing software business part of an international group of technology companies Key technical role supporting internal systems and software development environment Are you a Senior Infrastructure Engineer with broad experience across on-prem and cloud environments, looking for a hands-on role where youll take ownership of critical infrast…",65000,65000,permanent,2025-03-29T04:05:33Z,https://www.adzuna.co.uk/jobs/land/ad/5117403334?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=B7A621838570CC5FB71036C7BB53E937E29306E6,IT Jobs,infrastructure,gb,infrastructure,standard,False,True
IT Infrastructure Analyst,Moove Lubricants,"Shorne, Gravesend","IT Infrastructure Analyst Gravesend We have an exciting opportunity for you to join our team as our IT Infrastructure Analyst, based at our European Head office in Gravesend, Kent.Joining us on a permanent basis, Monday – Friday (8:30-1730), you will receive a competitive salary . Moove is a leading provider of automotive lubricants, oils, and chemicals throughout the UK, Europe, and Asia. We are part of Cosan a Global provider of Energy and Logistics. At our European Head office, we have 200 e…",40467.85,40467.85,permanent,2025-04-30T18:38:04Z,https://www.adzuna.co.uk/jobs/land/ad/5170881004?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=D57DF8C90DC32C41668BBF329A2538BF75EDB0D3,IT Jobs,infrastructure,gb,infrastructure,standard,False,True
Technical Engineer Infrastructure,Quadris,"Bredbury, Stockport","Quadris are looking for a Technical Engineer– Infrastructure to work within a small but experienced team, technically led by the Infrastructure Solutions Competency Manager and Senior Engineers You will join us on a f ull time, permanent basis. In return you will receive a competitive salary. This is a full-time position working Monday-Friday, 37.5 hours per week, on a variety of shift patterns between our core hours of 7 a.m. – 6 p.m. (UK Time). There is also a requirement to work flexibly out…",44876.94,44876.94,permanent,2025-04-07T17:32:31Z,https://www.adzuna.co.uk/jobs/land/ad/5133650410?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=908E88979CC6CA01678A16501F62B5B6893870DC,IT Jobs,infrastructure,gb,infrastructure,standard,False,False
Network & Infrastructure Consultant,Data Careers,"Hereford, Herefordshire","Network & Infrastructure Consultant Permanent Location: Home / Hereford (1 day every other week onsite) Salary: £50,000 - £55,000 ( benefits, on call, 20% bonus) Skills: Windows Server, VMware, Networking, Google Services, Okta, Intune, Driving Licence We are looking to recruit a Network & Infrastructure Consultant for a leading online retailer. This is a remote role with travel to my client's head office in Herefordshire once every 2 weeks. This is an exciting time to join my client as they ar…",55000,55000,permanent,2025-04-30T14:31:56Z,https://www.adzuna.co.uk/jobs/land/ad/5170489997?se=wJCwb_Eo8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=67CEF0A08A54A8F71618283B2741AC4C4584AF97,IT Jobs,infrastructure,gb,infrastructure,standard,True,False
