title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
SAP BTP Developer,The Birchman Group,"Reading, Berkshire","Are you a top-notch SAP BTP Developer looking for a fantastic new opportunity? Can you design and develop innovative solutions for your clients? And have amazing problem-solving skills? Well, we’ve got SAP BTP Developer the role for you This is a cutting-edge, forward-thinking employer that looks after their people As an SAP BTP Developer, you’ll be… · Designing, developing & deploying SAP BTP solutions · Implementing integration between SAP BTP and other applications · Managing the entire life…",54565.75,54565.75,permanent,2023-12-06T17:23:29Z,https://www.adzuna.co.uk/jobs/details/4466871556?utm_medium=api&utm_source=e1ad5111,IT Jobs,BTP,gb,BTP,standard,False,False
SAP BTP CONSULTANT,infosys,UK,"Requires minimum 5 years of experience in developing, deploying and configuring applications on Cloud Foundry using SAP CAPM. Experience creating and configuring launch pad sites using BTP portal service/Launchpad Service/WorkZone. Knowledge of BTP services like workflow management, Hana cloud, XSUAA, Document Service etc & configuring destinations to cloud and on-premise systems and using them in applications. Knowledge about platform operations like Identity Provider configuration, assertion-…",61387.5,61387.5,,2023-11-16T10:10:19Z,https://www.adzuna.co.uk/jobs/details/4435888747?utm_medium=api&utm_source=e1ad5111,IT Jobs,BTP,gb,BTP,standard,False,False
SAP - BTP/CPI Profile,schneider,UK,"Experience in developing inbound and outbound interfaces to/from the cloud to On-Premises and Cloud instances of SAP Products Experience in configuration and extension of standard iFlows. Experience in defining custom iFlows, local & exception sub-processes, exception handling Expertise in handling various integration adapters in SAP IS (SFSF, ODATA, SFTP, IDOC, SOAP, HTTP, Process Direct, REST Adapters) to exchange messages between sender and receiver Knowledge on developing value mapping and …",43221.66,43221.66,,2023-11-13T09:53:10Z,https://www.adzuna.co.uk/jobs/details/4429516538?utm_medium=api&utm_source=e1ad5111,IT Jobs,BTP,gb,BTP,standard,False,False
SAP BTP ADMIN CONSULTANT,infosys,UK,"7-15 years of total IT experience and 2 years of experience on BTP administrations. Knowledge of enabling and configuring multiple BTP services like Workzone, Identity & Authentication, Destinations, workflows, HANA Cloud etc. Experience is configuring cloud connector, destinations, Single Sign-on etc. Knowledge about platform operations like Identity Provider configuration, assertion-based mapping for authorization, role collection configuration etc. Experience in configuring platform automati…",43055.04,43055.04,,2023-11-16T10:10:27Z,https://www.adzuna.co.uk/jobs/details/4435888877?utm_medium=api&utm_source=e1ad5111,IT Jobs,BTP,gb,BTP,standard,False,False
SAP PI & BTP Integration Suite - Senior Developer,COMPUTACENTER  LIMITED,"North Mymms, Hatfield",Life on the team A new and exciting opportunity has arisen in Europes leading independent provider of IT infrastructure services. We are looking for an experienced SAP PI/BTP Integration Suite developer to join the Enterprise Integration team which is the function within Group Information Services responsible for the delivery of all group integration solutions. Our goal is to ensure we deliver professional integrations both internally and externally that maximise efficiencies and minimise costs…,48381.23,48381.23,permanent,2025-05-03T23:00:50Z,https://www.adzuna.co.uk/jobs/land/ad/5179462935?se=ZD6L1fAo8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=1DB6DEF2B1DE0368440C70C6CC7DFA4BF61BB653,IT Jobs,BTP,gb,BTP,standard,False,False
SAP BTP Integration Suite Application Developer,accenture,UK,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song-all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving c…",46221.11,46221.11,,2023-11-13T22:01:24Z,https://www.adzuna.co.uk/jobs/details/4430366741?utm_medium=api&utm_source=e1ad5111,Consultancy Jobs,BTP,gb,BTP,standard,False,True
SAP BTP Integration Suite Application Developer,Accenture,UK,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song-all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving c…",51631.48,51631.48,,2023-11-13T22:01:17Z,https://www.adzuna.co.uk/jobs/details/4430366641?utm_medium=api&utm_source=e1ad5111,Consultancy Jobs,BTP,gb,BTP,standard,False,True
SAP BTP Extension Suite Application Developer,accenture,UK,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song-all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving c…",45521.7,45521.7,,2023-11-13T22:01:24Z,https://www.adzuna.co.uk/jobs/details/4430366742?utm_medium=api&utm_source=e1ad5111,Consultancy Jobs,BTP,gb,BTP,standard,False,True
SAP BTP Integration Suite Integration Architect,accenture,UK,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song-all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving c…",55057.95,55057.95,,2023-11-20T10:00:17Z,https://www.adzuna.co.uk/jobs/details/4443149614?utm_medium=api&utm_source=e1ad5111,Consultancy Jobs,BTP,gb,BTP,standard,False,True
SAP PI & BTP Integration Suite - Senior Developer,Computacenter,"Hatfield, Hertfordshire",Life on the team A new and exciting opportunity has arisen in Europe’s leading independent provider of IT infrastructure services. We are looking for an experienced SAP PI/BTP Integration Suite developer to join the Enterprise Integration team which is the function within Group Information Services responsible for the delivery of all group integration solutions. Our goal is to ensure we deliver professional integrations both internally and externally that maximise efficiencies and minimise cost…,49383.76,49383.76,,2025-05-04T01:06:30Z,https://www.adzuna.co.uk/jobs/details/5179524974?utm_medium=api&utm_source=e1ad5111,IT Jobs,BTP,gb,BTP,standard,False,False
